listing_id,price,nbhood_full,formatted_price,formatted_borough,formatted_nbhood,
22572695,23 dollars,"Brooklyn, Flatbush",$23.00,Brooklyn, Flatbush,
24421357,23 dollars,"Bronx, Morrisania",$23.00,Bronx, Morrisania,
32589600,23 dollars,"Queens, Corona",$23.00,Queens, Corona,
29541280,24 dollars,"Brooklyn, Bedford-Stuyvesant",$24.00,Brooklyn, Bedford-Stuyvesant,
29884848,24 dollars,"Bronx, Belmont",$24.00,Bronx, Belmont,
30002830,24 dollars,"Brooklyn, Bedford-Stuyvesant",$24.00,Brooklyn, Bedford-Stuyvesant,
33112368,24 dollars,"Bronx, Mount Hope",$24.00,Bronx, Mount Hope,
33618303,24 dollars,"Brooklyn, Gravesend",$24.00,Brooklyn, Gravesend,
33666119,24 dollars,"Brooklyn, Bay Ridge",$24.00,Brooklyn, Bay Ridge,
33926057,24 dollars,"Queens, Corona",$24.00,Queens, Corona,
33929577,24 dollars,"Queens, Corona",$24.00,Queens, Corona,
34286555,24 dollars,"Brooklyn, Crown Heights",$24.00,Brooklyn, Crown Heights,
2431607,25 dollars,"Brooklyn, Bedford-Stuyvesant",$25.00,Brooklyn, Bedford-Stuyvesant,
4472904,25 dollars,"Bronx, Van Nest",$25.00,Bronx, Van Nest,
6743346,25 dollars,"Brooklyn, Williamsburg",$25.00,Brooklyn, Williamsburg,
10786987,25 dollars,"Brooklyn, Gravesend",$25.00,Brooklyn, Gravesend,
15888899,25 dollars,"Brooklyn, Cypress Hills",$25.00,Brooklyn, Cypress Hills,
16164399,25 dollars,"Brooklyn, Bedford-Stuyvesant",$25.00,Brooklyn, Bedford-Stuyvesant,
16557384,25 dollars,"Manhattan, Harlem",$25.00,Manhattan, Harlem,
16778904,25 dollars,"Manhattan, Washington Heights",$25.00,Manhattan, Washington Heights,
18898808,25 dollars,"Brooklyn, Bushwick",$25.00,Brooklyn, Bushwick,
19476630,25 dollars,"Brooklyn, East New York",$25.00,Brooklyn, East New York,
21172187,25 dollars,"Bronx, Parkchester",$25.00,Bronx, Parkchester,
21408195,25 dollars,"Manhattan, Harlem",$25.00,Manhattan, Harlem,
21471540,25 dollars,"Brooklyn, Bushwick",$25.00,Brooklyn, Bushwick,
22206207,25 dollars,"Queens, Glendale",$25.00,Queens, Glendale,
22636785,25 dollars,"Queens, Glendale",$25.00,Queens, Glendale,
22637100,25 dollars,"Queens, Glendale",$25.00,Queens, Glendale,
22856025,25 dollars,"Staten Island, Bull's Head",$25.00,Staten Island, Bull's Head,
22942669,25 dollars,"Brooklyn, Bedford-Stuyvesant",$25.00,Brooklyn, Bedford-Stuyvesant,
22984650,25 dollars,"Queens, St. Albans",$25.00,Queens, St. Albans,
23078172,25 dollars,"Manhattan, Washington Heights",$25.00,Manhattan, Washington Heights,
23634984,25 dollars,"Brooklyn, Crown Heights",$25.00,Brooklyn, Crown Heights,
25669472,25 dollars,"Queens, Queens Village",$25.00,Queens, Queens Village,
25776914,25 dollars,"Brooklyn, Canarsie",$25.00,Brooklyn, Canarsie,
26669041,25 dollars,"Brooklyn, East New York",$25.00,Brooklyn, East New York,
27612925,25 dollars,"Brooklyn, Borough Park",$25.00,Brooklyn, Borough Park,
28134807,25 dollars,"Brooklyn, Cypress Hills",$25.00,Brooklyn, Cypress Hills,
28135693,25 dollars,"Brooklyn, Cypress Hills",$25.00,Brooklyn, Cypress Hills,
28136026,25 dollars,"Brooklyn, Cypress Hills",$25.00,Brooklyn, Cypress Hills,
28589725,25 dollars,"Queens, Corona",$25.00,Queens, Corona,
29059334,25 dollars,"Brooklyn, Prospect-Lefferts Gardens",$25.00,Brooklyn, Prospect-Lefferts Gardens,
29059870,25 dollars,"Brooklyn, Bushwick",$25.00,Brooklyn, Bushwick,
29060585,25 dollars,"Brooklyn, Bushwick",$25.00,Brooklyn, Bushwick,
29152795,25 dollars,"Brooklyn, Bushwick",$25.00,Brooklyn, Bushwick,
29778804,25 dollars,"Queens, Astoria",$25.00,Queens, Astoria,
30377021,25 dollars,"Brooklyn, Sheepshead Bay",$25.00,Brooklyn, Sheepshead Bay,
30402045,25 dollars,"Brooklyn, Bedford-Stuyvesant",$25.00,Brooklyn, Bedford-Stuyvesant,
30423282,25 dollars,"Brooklyn, Crown Heights",$25.00,Brooklyn, Crown Heights,
30590921,25 dollars,"Brooklyn, East New York",$25.00,Brooklyn, East New York,
31144445,25 dollars,"Brooklyn, Bensonhurst",$25.00,Brooklyn, Bensonhurst,
31341166,25 dollars,"Queens, Elmhurst",$25.00,Queens, Elmhurst,
32038185,25 dollars,"Queens, Jamaica",$25.00,Queens, Jamaica,
32310733,25 dollars,"Brooklyn, Crown Heights",$25.00,Brooklyn, Crown Heights,
32427203,25 dollars,"Brooklyn, Flatbush",$25.00,Brooklyn, Flatbush,
32857508,25 dollars,"Brooklyn, Fort Greene",$25.00,Brooklyn, Fort Greene,
33422954,25 dollars,"Bronx, Tremont",$25.00,Bronx, Tremont,
33429492,25 dollars,"Brooklyn, Coney Island",$25.00,Brooklyn, Coney Island,
33749769,25 dollars,"Queens, Corona",$25.00,Queens, Corona,
33934534,25 dollars,"Brooklyn, Crown Heights",$25.00,Brooklyn, Crown Heights,
34413436,25 dollars,"Queens, Corona",$25.00,Queens, Corona,
34413482,25 dollars,"Brooklyn, Coney Island",$25.00,Brooklyn, Coney Island,
34844773,25 dollars,"Brooklyn, Gravesend",$25.00,Brooklyn, Gravesend,
35145314,25 dollars,"Queens, Corona",$25.00,Queens, Corona,
35150643,25 dollars,"Queens, Corona",$25.00,Queens, Corona,
35481361,25 dollars,"Brooklyn, Flatbush",$25.00,Brooklyn, Flatbush,
35481807,25 dollars,"Brooklyn, Flatbush",$25.00,Brooklyn, Flatbush,
36101190,25 dollars,"Queens, Flushing",$25.00,Queens, Flushing,
9990448,26 dollars,"Queens, Jackson Heights",$26.00,Queens, Jackson Heights,
11959854,26 dollars,"Bronx, Morris Heights",$26.00,Bronx, Morris Heights,
19974905,26 dollars,"Bronx, Parkchester",$26.00,Bronx, Parkchester,
22510506,26 dollars,"Bronx, Norwood",$26.00,Bronx, Norwood,
23670513,26 dollars,"Bronx, Olinville",$26.00,Bronx, Olinville,
25834015,26 dollars,"Queens, Maspeth",$26.00,Queens, Maspeth,
26639925,26 dollars,"Bronx, Parkchester",$26.00,Bronx, Parkchester,
28509709,26 dollars,"Bronx, Claremont Village",$26.00,Bronx, Claremont Village,
28590307,26 dollars,"Queens, Corona",$26.00,Queens, Corona,
28670432,26 dollars,"Brooklyn, Sunset Park",$26.00,Brooklyn, Sunset Park,
32384354,26 dollars,"Brooklyn, Crown Heights",$26.00,Brooklyn, Crown Heights,
32384721,26 dollars,"Brooklyn, Crown Heights",$26.00,Brooklyn, Crown Heights,
33632933,26 dollars,"Brooklyn, Midwood",$26.00,Brooklyn, Midwood,
33747879,26 dollars,"Queens, Flushing",$26.00,Queens, Flushing,
5352301,27 dollars,"Brooklyn, East Flatbush",$27.00,Brooklyn, East Flatbush,
9077858,27 dollars,"Brooklyn, East Flatbush",$27.00,Brooklyn, East Flatbush,
13694021,27 dollars,"Queens, Corona",$27.00,Queens, Corona,
14475417,27 dollars,"Queens, Corona",$27.00,Queens, Corona,
14821756,27 dollars,"Queens, Corona",$27.00,Queens, Corona,
18194450,27 dollars,"Brooklyn, Crown Heights",$27.00,Brooklyn, Crown Heights,
19906528,27 dollars,"Brooklyn, Bedford-Stuyvesant",$27.00,Brooklyn, Bedford-Stuyvesant,
21981845,27 dollars,"Staten Island, Randall Manor",$27.00,Staten Island, Randall Manor,
30434346,27 dollars,"Brooklyn, Williamsburg",$27.00,Brooklyn, Williamsburg,
31101775,27 dollars,"Brooklyn, Bedford-Stuyvesant",$27.00,Brooklyn, Bedford-Stuyvesant,
32722219,27 dollars,"Manhattan, Inwood",$27.00,Manhattan, Inwood,
34146260,27 dollars,"Queens, Jackson Heights",$27.00,Queens, Jackson Heights,
34259050,27 dollars,"Bronx, Longwood",$27.00,Bronx, Longwood,
34869203,27 dollars,"Brooklyn, Sunset Park",$27.00,Brooklyn, Sunset Park,
8402207,28 dollars,"Bronx, Soundview",$28.00,Bronx, Soundview,
15813866,28 dollars,"Brooklyn, Bushwick",$28.00,Brooklyn, Bushwick,
16301173,28 dollars,"Brooklyn, Bushwick",$28.00,Brooklyn, Bushwick,
17224372,28 dollars,"Brooklyn, Sunset Park",$28.00,Brooklyn, Sunset Park,
21122874,28 dollars,"Bronx, Parkchester",$28.00,Bronx, Parkchester,
23976566,28 dollars,"Queens, Rosedale",$28.00,Queens, Rosedale,
28291704,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
28309976,28 dollars,"Bronx, Westchester Square",$28.00,Bronx, Westchester Square,
28335929,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
28338004,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
28338131,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
30062210,28 dollars,"Brooklyn, Bedford-Stuyvesant",$28.00,Brooklyn, Bedford-Stuyvesant,
30319473,28 dollars,"Brooklyn, Sunset Park",$28.00,Brooklyn, Sunset Park,
31071518,28 dollars,"Manhattan, Harlem",$28.00,Manhattan, Harlem,
31267520,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
31403932,28 dollars,"Queens, Elmhurst",$28.00,Queens, Elmhurst,
32616111,28 dollars,"Brooklyn, Gravesend",$28.00,Brooklyn, Gravesend,
32777705,28 dollars,"Brooklyn, Bedford-Stuyvesant",$28.00,Brooklyn, Bedford-Stuyvesant,
32786180,28 dollars,"Queens, Middle Village",$28.00,Queens, Middle Village,
33897702,28 dollars,"Brooklyn, Bushwick",$28.00,Brooklyn, Bushwick,
33899850,28 dollars,"Brooklyn, Bushwick",$28.00,Brooklyn, Bushwick,
34089853,28 dollars,"Brooklyn, East Flatbush",$28.00,Brooklyn, East Flatbush,
34112635,28 dollars,"Queens, Jackson Heights",$28.00,Queens, Jackson Heights,
34444336,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
34446898,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
34715931,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
34717211,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
34718463,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
34718633,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
34782691,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
34791645,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
35169758,28 dollars,"Bronx, Port Morris",$28.00,Bronx, Port Morris,
1767037,29 dollars,"Queens, Woodhaven",$29.00,Queens, Woodhaven,
7111050,29 dollars,"Brooklyn, Bedford-Stuyvesant",$29.00,Brooklyn, Bedford-Stuyvesant,
7221446,29 dollars,"Brooklyn, Bedford-Stuyvesant",$29.00,Brooklyn, Bedford-Stuyvesant,
8506745,29 dollars,"Brooklyn, Bedford-Stuyvesant",$29.00,Brooklyn, Bedford-Stuyvesant,
11319227,29 dollars,"Manhattan, Inwood",$29.00,Manhattan, Inwood,
11684682,29 dollars,"Brooklyn, Crown Heights",$29.00,Brooklyn, Crown Heights,
14378948,29 dollars,"Brooklyn, Bedford-Stuyvesant",$29.00,Brooklyn, Bedford-Stuyvesant,
15453848,29 dollars,"Brooklyn, Crown Heights",$29.00,Brooklyn, Crown Heights,
16148051,29 dollars,"Brooklyn, Crown Heights",$29.00,Brooklyn, Crown Heights,
16194283,29 dollars,"Brooklyn, Bedford-Stuyvesant",$29.00,Brooklyn, Bedford-Stuyvesant,
16275030,29 dollars,"Brooklyn, Bedford-Stuyvesant",$29.00,Brooklyn, Bedford-Stuyvesant,
17367175,29 dollars,"Brooklyn, Williamsburg",$29.00,Brooklyn, Williamsburg,
18270109,29 dollars,"Brooklyn, Bushwick",$29.00,Brooklyn, Bushwick,
19071002,29 dollars,"Brooklyn, Bushwick",$29.00,Brooklyn, Bushwick,
19073347,29 dollars,"Manhattan, Lower East Side",$29.00,Manhattan, Lower East Side,
19650084,29 dollars,"Brooklyn, Cypress Hills",$29.00,Brooklyn, Cypress Hills,
20014072,29 dollars,"Bronx, Morris Park",$29.00,Bronx, Morris Park,
20917712,29 dollars,"Staten Island, St. George",$29.00,Staten Island, St. George,
21314250,29 dollars,"Bronx, Belmont",$29.00,Bronx, Belmont,
21366806,29 dollars,"Bronx, Belmont",$29.00,Bronx, Belmont,
23105516,29 dollars,"Bronx, Woodlawn",$29.00,Bronx, Woodlawn,
23247514,29 dollars,"Brooklyn, Bedford-Stuyvesant",$29.00,Brooklyn, Bedford-Stuyvesant,
27935946,29 dollars,"Brooklyn, Sunset Park",$29.00,Brooklyn, Sunset Park,
28833210,29 dollars,"Brooklyn, Sunset Park",$29.00,Brooklyn, Sunset Park,
28908658,29 dollars,"Queens, Elmhurst",$29.00,Queens, Elmhurst,
29561222,29 dollars,"Brooklyn, East New York",$29.00,Brooklyn, East New York,
29607688,29 dollars,"Queens, Sunnyside",$29.00,Queens, Sunnyside,
30310318,29 dollars,"Queens, Flushing",$29.00,Queens, Flushing,
30450834,29 dollars,"Queens, Jamaica",$29.00,Queens, Jamaica,
30478388,29 dollars,"Queens, East Elmhurst",$29.00,Queens, East Elmhurst,
30548591,29 dollars,"Brooklyn, Coney Island",$29.00,Brooklyn, Coney Island,
30795672,29 dollars,"Brooklyn, Brownsville",$29.00,Brooklyn, Brownsville,
31619454,29 dollars,"Brooklyn, Bensonhurst",$29.00,Brooklyn, Bensonhurst,
32616616,29 dollars,"Brooklyn, Bedford-Stuyvesant",$29.00,Brooklyn, Bedford-Stuyvesant,
34422726,29 dollars,"Bronx, City Island",$29.00,Bronx, City Island,
34785397,29 dollars,"Brooklyn, Crown Heights",$29.00,Brooklyn, Crown Heights,
35145342,29 dollars,"Queens, Corona",$29.00,Queens, Corona,
858695,30 dollars,"Bronx, Mount Eden",$30.00,Bronx, Mount Eden,
924658,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
2036105,30 dollars,"Brooklyn, Dyker Heights",$30.00,Brooklyn, Dyker Heights,
2414157,30 dollars,"Brooklyn, Flatbush",$30.00,Brooklyn, Flatbush,
4162519,30 dollars,"Brooklyn, Flatbush",$30.00,Brooklyn, Flatbush,
4265471,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
6245792,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
6246010,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
6603534,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
10368714,30 dollars,"Manhattan, Washington Heights",$30.00,Manhattan, Washington Heights,
12826965,30 dollars,"Queens, Flushing",$30.00,Queens, Flushing,
13726934,30 dollars,"Manhattan, East Village",$30.00,Manhattan, East Village,
14480047,30 dollars,"Brooklyn, Fort Hamilton",$30.00,Brooklyn, Fort Hamilton,
14491976,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
14917765,30 dollars,"Bronx, Kingsbridge",$30.00,Bronx, Kingsbridge,
15450724,30 dollars,"Queens, Sunnyside",$30.00,Queens, Sunnyside,
16146834,30 dollars,"Queens, Elmhurst",$30.00,Queens, Elmhurst,
16221732,30 dollars,"Queens, Bayside",$30.00,Queens, Bayside,
16276294,30 dollars,"Bronx, Kingsbridge",$30.00,Bronx, Kingsbridge,
16288650,30 dollars,"Brooklyn, Bushwick",$30.00,Brooklyn, Bushwick,
16346527,30 dollars,"Queens, Bayside",$30.00,Queens, Bayside,
16612424,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
16770311,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
16811364,30 dollars,"Brooklyn, Bushwick",$30.00,Brooklyn, Bushwick,
16976267,30 dollars,"Queens, Rego Park",$30.00,Queens, Rego Park,
17029902,30 dollars,"Queens, Rego Park",$30.00,Queens, Rego Park,
17173473,30 dollars,"Queens, Rego Park",$30.00,Queens, Rego Park,
17225037,30 dollars,"Brooklyn, Sunset Park",$30.00,Brooklyn, Sunset Park,
17430853,30 dollars,"Queens, Rego Park",$30.00,Queens, Rego Park,
17501131,30 dollars,"Brooklyn, Flatbush",$30.00,Brooklyn, Flatbush,
18080436,30 dollars,"Brooklyn, Bay Ridge",$30.00,Brooklyn, Bay Ridge,
18619857,30 dollars,"Queens, Jamaica",$30.00,Queens, Jamaica,
20714517,30 dollars,"Brooklyn, Flatlands",$30.00,Brooklyn, Flatlands,
20725759,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
21011427,30 dollars,"Manhattan, Washington Heights",$30.00,Manhattan, Washington Heights,
21394087,30 dollars,"Manhattan, Harlem",$30.00,Manhattan, Harlem,
21623610,30 dollars,"Staten Island, Tompkinsville",$30.00,Staten Island, Tompkinsville,
21753773,30 dollars,"Brooklyn, East New York",$30.00,Brooklyn, East New York,
21936288,30 dollars,"Queens, Elmhurst",$30.00,Queens, Elmhurst,
22083268,30 dollars,"Brooklyn, Bushwick",$30.00,Brooklyn, Bushwick,
22279575,30 dollars,"Brooklyn, East Flatbush",$30.00,Brooklyn, East Flatbush,
22483776,30 dollars,"Queens, Woodside",$30.00,Queens, Woodside,
22530070,30 dollars,"Brooklyn, Brighton Beach",$30.00,Brooklyn, Brighton Beach,
22531898,30 dollars,"Manhattan, Upper West Side",$30.00,Manhattan, Upper West Side,
22637533,30 dollars,"Brooklyn, Fort Hamilton",$30.00,Brooklyn, Fort Hamilton,
22789917,30 dollars,"Brooklyn, Williamsburg",$30.00,Brooklyn, Williamsburg,
23253216,30 dollars,"Queens, Ridgewood",$30.00,Queens, Ridgewood,
23329993,30 dollars,"Queens, Sunnyside",$30.00,Queens, Sunnyside,
23343836,30 dollars,"Queens, Sunnyside",$30.00,Queens, Sunnyside,
23344008,30 dollars,"Queens, Sunnyside",$30.00,Queens, Sunnyside,
23505645,30 dollars,"Queens, Glendale",$30.00,Queens, Glendale,
23779181,30 dollars,"Manhattan, East Harlem",$30.00,Manhattan, East Harlem,
23827905,30 dollars,"Manhattan, Upper West Side",$30.00,Manhattan, Upper West Side,
23861801,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
24831635,30 dollars,"Queens, Briarwood",$30.00,Queens, Briarwood,
26355272,30 dollars,"Queens, Long Island City",$30.00,Queens, Long Island City,
26430901,30 dollars,"Staten Island, Concord",$30.00,Staten Island, Concord,
26431251,30 dollars,"Staten Island, Concord",$30.00,Staten Island, Concord,
26431441,30 dollars,"Staten Island, Concord",$30.00,Staten Island, Concord,
26518916,30 dollars,"Brooklyn, Bushwick",$30.00,Brooklyn, Bushwick,
26734288,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
26794087,30 dollars,"Brooklyn, Cypress Hills",$30.00,Brooklyn, Cypress Hills,
26994076,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
26994354,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
27336782,30 dollars,"Queens, Flushing",$30.00,Queens, Flushing,
27337533,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
27507663,30 dollars,"Queens, Sunnyside",$30.00,Queens, Sunnyside,
27833130,30 dollars,"Brooklyn, Bushwick",$30.00,Brooklyn, Bushwick,
27965802,30 dollars,"Queens, Elmhurst",$30.00,Queens, Elmhurst,
27975725,30 dollars,"Queens, South Ozone Park",$30.00,Queens, South Ozone Park,
28096650,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
28453441,30 dollars,"Brooklyn, Borough Park",$30.00,Brooklyn, Borough Park,
28811363,30 dollars,"Brooklyn, East New York",$30.00,Brooklyn, East New York,
28918211,30 dollars,"Brooklyn, Prospect-Lefferts Gardens",$30.00,Brooklyn, Prospect-Lefferts Gardens,
28918915,30 dollars,"Brooklyn, Prospect-Lefferts Gardens",$30.00,Brooklyn, Prospect-Lefferts Gardens,
29337184,30 dollars,"Queens, South Ozone Park",$30.00,Queens, South Ozone Park,
29654969,30 dollars,"Queens, Ridgewood",$30.00,Queens, Ridgewood,
29869390,30 dollars,"Queens, Corona",$30.00,Queens, Corona,
29923252,30 dollars,"Queens, Woodside",$30.00,Queens, Woodside,
30062477,30 dollars,"Brooklyn, Sheepshead Bay",$30.00,Brooklyn, Sheepshead Bay,
30408787,30 dollars,"Manhattan, Harlem",$30.00,Manhattan, Harlem,
30425766,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
30448678,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
30451593,30 dollars,"Brooklyn, Bushwick",$30.00,Brooklyn, Bushwick,
30747260,30 dollars,"Brooklyn, Sunset Park",$30.00,Brooklyn, Sunset Park,
30825043,30 dollars,"Brooklyn, Crown Heights",$30.00,Brooklyn, Crown Heights,
30862301,30 dollars,"Queens, Woodhaven",$30.00,Queens, Woodhaven,
31090222,30 dollars,"Queens, Jamaica",$30.00,Queens, Jamaica,
31135051,30 dollars,"Queens, St. Albans",$30.00,Queens, St. Albans,
31149078,30 dollars,"Brooklyn, Brighton Beach",$30.00,Brooklyn, Brighton Beach,
31151589,30 dollars,"Brooklyn, Crown Heights",$30.00,Brooklyn, Crown Heights,
31189073,30 dollars,"Manhattan, Upper East Side",$30.00,Manhattan, Upper East Side,
31259044,30 dollars,"Brooklyn, Park Slope",$30.00,Brooklyn, Park Slope,
31393901,30 dollars,"Bronx, Mount Hope",$30.00,Bronx, Mount Hope,
31861155,30 dollars,"Brooklyn, Prospect-Lefferts Gardens",$30.00,Brooklyn, Prospect-Lefferts Gardens,
31927597,30 dollars,"Brooklyn, Bushwick",$30.00,Brooklyn, Bushwick,
32042721,30 dollars,"Queens, St. Albans",$30.00,Queens, St. Albans,
32206003,30 dollars,"Staten Island, Grant City",$30.00,Staten Island, Grant City,
32222756,30 dollars,"Bronx, Kingsbridge",$30.00,Bronx, Kingsbridge,
32342541,30 dollars,"Queens, Long Island City",$30.00,Queens, Long Island City,
32493281,30 dollars,"Brooklyn, Bushwick",$30.00,Brooklyn, Bushwick,
32731541,30 dollars,"Brooklyn, Bedford-Stuyvesant",$30.00,Brooklyn, Bedford-Stuyvesant,
32749109,30 dollars,"Brooklyn, Bay Ridge",$30.00,Brooklyn, Bay Ridge,
32890647,30 dollars,"Queens, Astoria",$30.00,Queens, Astoria,
